,lastname,firstname,gender,type,state,party,bioguideid,cspanid,gt_id,
,Sumter,Thomas,M,sen,SC,Republican,S001073,,410527,
,Tenney,Samuel,M,rep,NH,Federalist,T000127,,410709,
,Thompson,Philip,M,rep,VA,Republican,T000213,,410792,
,Thruston,Buckner,,sen,KY,Republican,T000249,,410827,
,Tompkins,Daniel,M,rep,NY,,T000306,,410879,
,Wadsworth,Peleg,,rep,MA,Federalist,W000014,,411193,
,Walton,Matthew,M,rep,KY,Republican,W000116,,412115,
,Whitehill,John,M,rep,PA,Republican,W000403,,411563,
,Wickes,Eliphalet,,rep,NY,Republican,W000440,,411598,
,Williams,Nathan,M,rep,NY,Republican,W000531,,411688,
,Winston,Joseph,M,rep,NC,Republican,W000642,,411796,
,Wynns,Thomas,M,rep,NC,Republican,W000786,,411933,
,Milledge,John,M,sen,GA,Republican,M000712,,407695,
,Alexander,Evan,,rep,NC,Republican,A000092,,412132,
,Barker,Joseph,M,rep,MA,Republican,B000144,,401145,
,Bidwell,Barnabas,,rep,MA,Republican,B000446,,401431,
,Blake,John,M,rep,NY,Republican,B000533,,401508,
,Boyle,John,M,rep,KY,Republican,B000729,,401689,
,Bradley,Stephen,M,sen,VT,Republican,B000745,,401704,
,Broom,James,M,rep,DE,Federalist,B000888,,401845,
,Carleton,Peter,M,rep,NH,Republican,C000148,,402297,
,Claiborne,John,M,rep,VA,Republican,C000403,,402542,
,Clark,Daniel,M,rep,OL,,C000426,,412141,
,Clay,Joseph,M,rep,PA,Republican,C000486,,402624,
,Clinton,George,M,rep,NY,Republican,C000526,,402661,
,Crowninshield,Jacob,M,rep,MA,Republican,C000947,,403059,
,Darby,Ezra,,rep,NJ,Republican,D000047,,403186,
,Dean,Josiah,M,rep,MA,Republican,D000173,,403335,
,Durell,Daniel,M,rep,NH,Republican,D000565,,403668,
,Elliott,James,M,rep,VT,Federalist,E000122,,403813,
,Franklin,Jesse,,sen,NC,Republican,F000344,,404292,
,Gardner,Francis,,rep,NH,Republican,G000052,,404426,
,Garnett,James,M,rep,VA,Republican,G000075,,404447,
,Goodrich,Chauncey,,sen,CT,Federalist,G000293,,404652,
,Gregg,Andrew,M,sen,PA,Republican,G000442,,404789,
,Harris,John,M,rep,NY,Republican,H000245,,405123,
,Hiester,John,M,rep,PA,Republican,H000573,,405435,
,Hoge,William,M,rep,PA,Republican,H000699,,405552,
,Humphrey,Reuben,M,rep,NY,Republican,H000957,,405801,
,Ilsley,Daniel,M,rep,MA,Republican,I000009,,405871,
,Jones,George,M,sen,GA,Republican,J000220,,406114,
,Kelly,James,M,rep,PA,Federalist,K000073,,406243,
,Kirkpatrick,William,M,rep,NY,Republican,K000239,,406398,
,Knight,Nehemiah,,rep,RI,Republican,K000286,,406443,
,Masters,Josiah,M,rep,NY,Republican,M000232,,407250,
,Mathewson,Elisha,,sen,RI,Republican,M000240,,407258,
,McCreery,William,M,rep,MD,Republican,M000387,,407388,
,Montgomery,Daniel,M,rep,PA,Republican,M000864,,407837,
,Morrow,John,M,rep,VA,Republican,M001005,,412080,
,Parke,Benjamin,M,rep,IN,,P000052,,408462,
,Parker,Nahum,,sen,NH,Republican,P000067,,408477,
,Pugh,John,M,rep,PA,Republican,P000562,,408945,
,Richards,Jacob,M,rep,PA,Republican,R000212,,409188,
,Riker,Samuel,M,rep,NY,Republican,R000257,,409233,
,Russell,John,M,rep,NY,Republican,R000529,,409487,
,Sloan,James,M,rep,NJ,Republican,S000493,,412098,
,Smith,Jedediah,,rep,NH,Republican,S000562,,410044,
,Smith,John,M,sen,NY,Republican,S000566,,410046,
,Story,Joseph,M,rep,MA,Republican,S000978,,410437,
,Swart,Peter,M,rep,NY,Republican,S001096,,410549,
,Thomas,David,M,rep,NY,Republican,T000163,,410744,
,Tiffin,Edward,M,sen,OH,Republican,T000268,,410841,
,Trigg,Abram,,rep,VA,Republican,T000368,,410937,
,Van Alen,James,M,rep,NY,Republican,V000011,,411069,
,Van Cortlandt,Philip,M,rep,NY,Republican,V000022,,411075,
,Verplanck,Daniel,M,rep,NY,Republican,V000088,,411143,
,Wilbour,Isaac,M,rep,RI,Republican,W000454,,411611,
